NO,STRESS,EFFICACY,DiasasterReadiness,PerReadiness,SelfProtection,EmergencyResponse,ClinicalManage,ProblemCope,EmotionCope,DisCope,ComSatisfaction,ComFatigue,BURNOUT,SECONDTRAMA
401,33,27,132,55,31,17,29,20,31,33,23,56,32,24
402,29,14,95,42,23,13,17,15,23,26,31,61,31,30
403,27,20,110,46,25,19,20,19,29,31,30,59,28,31
404,28,20,122,48,30,21,23,23,35,28,32,54,28,26
405,24,26,137,56,28,22,31,18,30,32,35,55,29,26
406,14,37,134,52,32,17,33,21,32,28,39,43,23,20
407,28,30,120,48,33,18,21,18,30,36,30,57,28,29
408,21,31,125,54,33,14,24,22,32,31,37,53,26,27
409,24,30,126,47,30,20,29,24,34,30,26,53,33,20
410,22,32,95,41,23,13,18,23,30,32,26,57,33,24
411,25,20,118,48,33,18,19,12,21,24,30,60,30,30
412,12,40,137,58,33,18,28,23,35,28,30,41,22,19
413,34,30,122,46,31,22,23,17,25,31,38,60,28,32
414,25,26,123,48,33,19,23,18,29,31,30,60,30,30
415,18,30,124,51,33,18,22,24,32,32,40,50,24,26
416,28,30,160,64,44,24,28,18,30,36,40,70,30,40
417,31,30,114,48,29,10,27,18,31,36,39,59,26,33
418,19,20,105,36,29,15,25,18,26,28,20,57,35,22
419,31,24,84,35,17,8,24,15,23,28,28,58,33,25
420,12,33,166,71,43,20,32,21,31,31,36,39,22,17
421,17,30,134,60,31,17,26,21,30,32,40,67,26,41
422,27,16,109,48,21,14,26,19,22,28,26,59,32,27
423,26,26,110,48,23,14,25,19,27,18,29,48,27,21
424,24,28,122,53,28,15,26,18,24,21,27,43,26,17
425,27,29,73,25,15,8,25,16,22,29,28,62,31,31
426,25,27,113,47,26,14,26,18,29,29,30,55,29,26
427,31,24,145,65,26,24,30,13,28,34,38,47,29,18
428,28,30,120,48,33,18,21,12,20,24,30,60,30,30
429,27,30,136,53,36,22,25,19,30,36,38,69,31,38
430,28,20,111,45,27,17,22,18,25,26,30,60,30,30
431,18,27,141,58,36,18,29,21,25,24,37,46,24,22
432,20,38,160,64,44,24,28,18,30,36,38,44,20,24
433,14,26,136,53,36,18,29,19,28,26,37,55,25,30
434,11,30,141,57,33,20,31,24,35,20,40,43,21,22
435,5,39,125,46,34,17,28,22,28,27,39,52,24,28
436,10,31,136,57,34,17,28,22,28,22,40,36,18,18
437,14,35,115,47,24,14,30,23,38,34,22,52,29,23
438,28,29,149,60,36,24,29,21,27,29,27,51,28,23
439,27,23,133,56,33,18,26,24,32,25,32,58,32,26
440,28,22,120,48,33,18,21,15,19,25,30,60,30,30
441,27,20,80,32,22,12,14,12,20,24,20,50,30,20
442,18,30,146,62,35,23,26,20,27,23,39,52,23,29
443,26,23,116,48,26,18,24,18,28,29,33,59,29,30
444,6,33,184,72,47,30,35,23,33,18,50,32,18,14
445,14,28,126,57,24,15,30,18,24,26,34,44,31,13
446,22,22,142,59,37,18,28,17,27,27,29,54,28,26
447,32,17,86,40,15,8,23,18,25,24,29,44,28,16
448,22,22,55,16,12,6,21,22,31,27,26,54,29,25
449,26,26,123,46,30,18,29,19,30,29,31,53,30,23
450,28,20,160,64,44,24,28,12,20,24,38,69,30,39
451,28,40,200,80,55,30,35,24,37,26,50,33,10,23
452,29,40,200,80,55,30,35,24,32,32,50,25,10,15
